step,J,J_tensor,J_volume,J_reg,volume,grad_rms,step_rms,grey,perimeter,C11,C12,ms
0,7.7385,7.73453,0.0025,0.00146752,0.5,1.09721,0.0383122,1,0.0187621,0.761464,0.325939,1061.55
1,6.62243,6.62092,1.10934e-31,0.00150847,0.5,1.00034,0.0359227,1,0.0191752,0.694674,0.297252,1012.97
2,6.57913,6.57761,7.88861e-31,0.00151646,0.5,1.00038,0.0357318,1,0.0201243,0.692168,0.296128,1018.79
3,6.53372,6.5322,3.7286e-31,0.00152358,0.5,1.00042,0.035531,1,0.0211628,0.689545,0.294947,1039.64
4,6.48597,6.48444,2.77334e-32,0.00152974,0.5,1.00046,0.0353201,1,0.0222967,0.686793,0.293703,1052.91
5,6.4356,6.43406,4.43734e-31,0.00153485,0.5,1.00051,0.0350992,1,0.0235324,0.683895,0.292388,1073.42
6,6.38234,6.3808,5.96576e-30,0.00153883,0.5,1.00057,0.0348682,1,0.0248762,0.680835,0.290995,1095.36
7,6.32587,6.32432,0,0.00154159,0.5,1.00063,0.0346272,1,0.0263346,0.677595,0.289515,1090.64
8,6.26586,6.26432,1.35894e-30,0.00154303,0.5,1.00069,0.0343765,1,0.0279143,0.674154,0.287937,1135.36
9,6.20196,6.20042,4.93038e-32,0.00154309,0.5,1.00076,0.0341162,1,0.0296222,0.670491,0.28625,1170.85
10,6.13378,6.13224,4.93038e-32,0.00154169,0.5,1.00083,0.0338466,1,0.0314655,0.66658,0.284444,1177.86
11,6.06093,6.05939,4.93038e-32,0.00153877,0.5,1.00091,0.0335684,1,0.0334515,0.662397,0.282505,1176.48
12,5.98297,5.98143,4.43734e-31,0.0015343,0.5,1.001,0.0332819,1,0.0355878,0.657913,0.280419,1218.48
13,5.89945,5.89793,3.08149e-31,0.00152827,0.5,1.00108,0.0329879,1,0.037882,0.653096,0.278171,1251.64
14,5.80992,5.8084,1.10934e-29,0.0015207,0.5,1.00118,0.0326872,1,0.040342,0.647914,0.275744,1258.38
15,5.71388,5.71237,3.08149e-33,0.00151166,0.5,1.00127,0.0323805,1,0.0429757,0.64233,0.27312,1301.96
16,5.61085,5.60935,3.15544e-30,0.00150126,0.5,1.00136,0.032069,1,0.0457905,0.636305,0.270282,1320.63
17,5.50033,5.49884,4.93038e-32,0.00148968,0.5,1.00145,0.0317537,0.999947,0.0487937,0.629799,0.267207,1343.65
18,5.38183,5.38035,9.98402e-31,0.00147717,0.5,1.00154,0.0314358,0.996487,0.0519918,0.622765,0.263874,1378.87
19,5.25486,5.2534,2.77334e-32,0.00146404,0.5,1.00162,0.0311164,0.985523,0.0553906,0.615156,0.26026,1410.83
20,5.11898,5.11753,1.97215e-31,0.00145072,0.5,1.0017,0.0307969,0.969654,0.0589944,0.606923,0.256341,1424.6
21,4.97377,4.97233,8.33234e-30,0.00143772,0.5,1.00176,0.0304786,0.952019,0.0628056,0.59801,0.25209,1471.78
22,4.81887,4.81744,2.41589e-30,0.00142566,0.5,1.0018,0.0301626,0.934067,0.0668245,0.588363,0.24748,1507.44
23,4.65424,4.65282,4.62466e-26,0.00141525,0.5,1.00182,0.0298501,0.915848,0.0710481,0.577935,0.24249,1506.53
24,4.48132,4.47991,9.3215e-28,0.00140731,0.5,1.00182,0.0295431,0.898438,0.0754664,0.566767,0.237136,1515.82
25,4.30241,4.30101,2.83671e-23,0.00140263,0.5,1.00178,0.0292432,0.880795,0.0800632,0.554952,0.23146,1493.44
26,4.11914,4.11774,1.38059e-20,0.00140185,0.5,1.0017,0.0289516,0.863663,0.0848166,0.542545,0.22549,1493.15
27,3.93261,3.9312,1.00575e-18,0.00140553,0.5,1.00159,0.028668,0.83522,0.0897008,0.529572,0.21924,1485.37
28,3.74367,3.74225,2.42734e-17,0.00141415,0.5,1.00144,0.0283924,0.793301,0.094688,0.516045,0.21272,1486.48
29,3.55311,3.55168,2.80613e-16,0.00142812,0.5,1.00125,0.0281243,0.750072,0.0997483,0.501973,0.20594,1486
30,3.36177,3.36032,2.16914e-15,0.0014478,0.5,1.00102,0.0278633,0.702877,0.104853,0.487363,0.198908,1486.45
31,3.17058,3.1691,1.16855e-14,0.00147346,0.5,1.00075,0.0276099,0.652214,0.109969,0.472235,0.191642,1486.89
