step,J,J_tensor,J_volume,J_reg,volume,grey,C11,C12,nu_eff,C_fro,design_rms,dJ_rel,dC_rel,morph_frac,step_rms,grad_rms,simp_p,lambda_reg,frozen,conv_window,candidate,verified,ms,elasticity,termination
0,0.00958768,2.62272e-05,9.91408e-16,0.00956145,0.257587,0.497551,0.0441512,-0.00732741,-0.198986,0.119375,0,0,0,0,0.00468578,0.117421,2,0.2,1,0,0,0,3087.37,1,RUNNING
1,0.00906901,2.51708e-05,8.9055e-31,0.00904384,0.257587,0.501169,0.0442698,-0.00692715,-0.185502,0.11905,0.00467582,0.000518667,0.00625243,0.00185707,0.00421236,0.105381,2,0.2,1,0,0,0,3043.87,1,RUNNING
2,0.00864793,2.52554e-05,1.11242e-30,0.00862268,0.257587,0.505187,0.0444747,-0.0065157,-0.171651,0.118854,0.00420252,0.000421079,0.0063418,0.00214524,0.00383204,0.095801,2,0.2,1,0,0,0,3266.07,1,RUNNING
3,0.00829809,2.60129e-05,4.93038e-32,0.00827208,0.257587,0.509525,0.0447086,-0.00611661,-0.158494,0.118709,0.00382163,0.00034984,0.00616771,0.00160092,0.00352181,0.0880453,2,0.2,1,0,0,0,3301.14,1,RUNNING
4,0.00800161,2.7199e-05,3.08149e-33,0.00797441,0.257587,0.513848,0.0449459,-0.00573884,-0.146373,0.118582,0.00351022,0.000296479,0.00584934,0.00176101,0.00326621,0.0816553,2,0.2,1,0,0,0,3287.83,1,RUNNING
5,0.00774601,2.86792e-05,3.08149e-31,0.00771733,0.257587,0.518251,0.0451761,-0.00538401,-0.135304,0.118461,0.00325319,0.000255602,0.00550159,0.00161693,0.00305196,0.076299,2,0.2,1,0,0,0,3283.14,1,RUNNING
6,0.00752251,3.03776e-05,7.70372e-32,0.00749213,0.257587,0.521917,0.0453958,-0.00505091,-0.125193,0.118341,0.00303738,0.000223506,0.00517304,0.00142482,0.00286953,0.0717382,2,0.2,1,0,0,0,3321.94,1,RUNNING
7,0.00732475,3.22492e-05,1.10934e-31,0.0072925,0.257587,0.525102,0.0456047,-0.00473742,-0.115922,0.118223,0.00285334,0.000197753,0.00487776,0.00140881,0.00271204,0.0678009,2,0.2,1,0,0,0,3302.92,1,RUNNING
8,0.00714806,3.42656e-05,1.2326e-32,0.00711379,0.257587,0.5284,0.0458035,-0.0044414,-0.107378,0.118106,0.0026942,0.000176694,0.00461604,0.00182505,0.00257441,0.0643603,2,0.2,1,0,0,0,3309.9,1,RUNNING
9,0.00698887,3.64067e-05,7.70372e-32,0.00695247,0.257587,0.531682,0.0459934,-0.00416088,-0.0994652,0.117992,0.00255489,0.000159187,0.00438378,0.00140881,0.00245285,0.0613213,2,0.2,1,0,0,0,3302.7,1,RUNNING
10,0.00684445,3.86568e-05,0,0.00680579,0.257587,0.534564,0.0461752,-0.00389421,-0.092103,0.117882,0.00243162,0.000144423,0.004176,0.00131276,0.00234448,0.0586121,2,0.2,1,0,0,0,3348.13,1,RUNNING
11,0.00671263,4.10017e-05,3.08149e-33,0.00667163,0.257587,0.537526,0.0463499,-0.00364001,-0.0852264,0.117775,0.0023215,0.000131816,0.00398821,0.00161693,0.0022471,0.0561775,2,0.2,1,0,0,0,3320.55,1,RUNNING
12,0.0065917,4.34288e-05,2.77334e-32,0.00654827,0.257587,0.540295,0.0465182,-0.00339715,-0.0787817,0.117672,0.00222231,0.000120936,0.00381671,0.00142482,0.00215897,0.0539742,2,0.2,1,0,0,0,3322.67,1,RUNNING
13,0.00648024,4.5926e-05,0,0.00643432,0.257587,0.543289,0.0466805,-0.00316468,-0.0727246,0.117574,0.00213234,0.000111457,0.00365857,0.00136078,0.00207872,0.0519681,2,0.2,1,0,0,0,3327.59,1,RUNNING
