# OpenPFC #108 clean production medians. Long-protocol ladder through
# FD-20 512 (jobs 22198927-22198929). Weak efficiency vs each order's
# 1-node 5005-step median. Do not mix with diagnostic overlap timings.
fd_order,halo_width,halo_face_bytes,nodes,ranks,proc_grid,n_repeats,wall_step_s_median,wall_step_s_min,wall_step_s_max,weak_eff,halo_bytes_per_owned,jobs
2,1,3145728,1,8,2x2x2,3,0.00089055,0.00088911,0.00089630,1.0000,1.875000e-01,"22198876,22198877,22198997"
2,1,3145728,8,64,4x4x4,3,0.00089312,0.00088905,0.00089713,0.9971,1.875000e-01,22198998
2,1,3145728,32,256,4x8x8,3,0.00088377,0.00088083,0.00088532,1.0077,1.875000e-01,"22198884,22198885,22198886"
2,1,3145728,128,1024,8x8x16,3,0.00097442,0.00096424,0.00097487,0.9139,1.875000e-01,"22198899,22198900,22198901"
2,1,3145728,512,4096,16x16x16,3,0.00100175,0.00100132,0.00100229,0.8890,1.875000e-01,"22198914,22198915,22198916"
2,1,3145728,1024,8192,16x16x32,3,0.00102486,0.00101714,0.00102491,0.8689,1.875000e-01,"22187770,22187771,22187772"
4,2,6291456,1,8,2x2x2,3,0.00132088,0.00130398,0.00132701,1.0000,3.750000e-01,22198997
4,2,6291456,8,64,4x4x4,3,0.00158658,0.00157994,0.00175870,0.8325,3.750000e-01,22198998
4,2,6291456,32,256,4x8x8,3,0.00159514,0.00159248,0.00162727,0.8281,3.750000e-01,"22198887,22198888,22198889"
4,2,6291456,128,1024,8x8x16,3,0.00182665,0.00182474,0.00184484,0.7231,3.750000e-01,"22198902,22198903,22198904"
4,2,6291456,512,4096,16x16x16,3,0.00187372,0.00187033,0.00188637,0.7050,3.750000e-01,"22198917,22198918,22198919"
4,2,6291456,1024,8192,16x16x32,3,0.00193211,0.00192086,0.00193666,0.6836,3.750000e-01,"22187773,22187774,22187775"
8,4,12582912,1,8,2x2x2,3,0.00184429,0.00183143,0.00184623,1.0000,7.500000e-01,22198997
8,4,12582912,8,64,4x4x4,3,0.00240313,0.00239672,0.00240791,0.7675,7.500000e-01,22198998
8,4,12582912,32,256,4x8x8,2,0.00247876,0.00247251,0.00248502,0.7440,7.500000e-01,"22198891,22198892"
8,4,12582912,128,1024,8x8x16,2,0.00291259,0.00290983,0.00291534,0.6332,7.500000e-01,"22198905,22198906"
8,4,12582912,512,4096,16x16x16,3,0.00305980,0.00305874,0.00307728,0.6027,7.500000e-01,"22198920,22198921,22198922"
8,4,12582912,1024,8192,16x16x32,3,0.00312651,0.00312566,0.00315368,0.5899,7.500000e-01,"22187776,22187777,22187778"
12,6,18874368,1,8,2x2x2,3,0.00260286,0.00260069,0.00260360,1.0000,1.125000e+00,22198997
12,6,18874368,8,64,4x4x4,3,0.00342700,0.00342447,0.00345200,0.7595,1.125000e+00,22198998
12,6,18874368,32,256,4x8x8,2,0.00370004,0.00365697,0.00374312,0.7035,1.125000e+00,"22198893,22198894"
12,6,18874368,128,1024,8x8x16,3,0.00421235,0.00413610,0.00423971,0.6179,1.125000e+00,"22198908,22198909,22198910"
12,6,18874368,512,4096,16x16x16,3,0.00439189,0.00438808,0.00446571,0.5927,1.125000e+00,"22198923,22198924,22198925"
12,6,18874368,1024,8192,16x16x32,3,0.00452306,0.00451377,0.00453056,0.5755,1.125000e+00,"22187779,22187780,22187781"
20,10,31457280,1,8,2x2x2,3,0.00418405,0.00416092,0.00419132,1.0000,1.875000e+00,22198997
20,10,31457280,8,64,4x4x4,3,0.00572805,0.00572212,0.00573280,0.7304,1.875000e+00,22198998
20,10,31457280,32,256,4x8x8,3,0.00626464,0.00622938,0.00629204,0.6679,1.875000e+00,"22198896,22198897,22198898"
20,10,31457280,128,1024,8x8x16,3,0.00712026,0.00702766,0.00715001,0.5876,1.875000e+00,"22198911,22198912,22198913"
20,10,31457280,512,4096,16x16x16,3,0.00740297,0.00732953,0.00750739,0.5652,1.875000e+00,"22198927,22198928,22198929"
20,10,31457280,1024,8192,16x16x32,3,0.00772610,0.00770377,0.00776486,0.5415,1.875000e+00,"22187782,22187783,22187784"
