# OpenPFC #108 diagnostic overlap timings, Heat3D FD 256^3/GCD, overlap mode 1.
# One admitted allocation per (order, nodes). Times are seconds per step.
# halo_face_bytes = 6 * 256^2 * (order/2) * 8.
# Scratch: /scratch/project_462001245/juaho/openpfc-scaling/fd-order-108/results/runs.csv
issue,job,nodes,fd_order,halo_width,halo_face_bytes,exposed_wait_s,inner_s,post_s,border_s,halo_s,wall_step_s
108,22187785,8,2,1,3145728,0.000295878,0.000437764,0.000150255,9.8401e-05,0.00044656,0.00093414
108,22187786,8,4,2,6291456,0.000409973,0.000567204,0.000603534,0.000131681,0.0010073,0.00156431
108,22187787,8,8,4,12582912,0.000781106,0.000902731,0.000951686,0.000173442,0.00173211,0.00238874
108,22187788,8,12,6,18874368,0.00116381,0.00132801,0.00138428,0.000305444,0.00250568,0.00340217
108,22187789,8,20,10,31457280,0.00222351,0.00217729,0.00224606,0.000661045,0.00445719,0.00569345
108,22187795,1024,2,1,3145728,0.000388059,0.000425285,0.000151404,0.000102081,0.000532279,0.00104295
108,22187796,1024,4,2,6291456,0.000738811,0.000568486,0.00060038,0.000144722,0.00132925,0.00192443
108,22187797,1024,8,4,12582912,0.00142783,0.000904492,0.000947215,0.000177442,0.00236273,0.00311341
108,22187798,1024,12,6,18874368,0.00232277,0.00133089,0.00137802,0.000305923,0.00366169,0.00459625
108,22187799,1024,20,10,31457280,0.00385059,0.0021825,0.00224006,0.000662485,0.00602912,0.00761497
