# Per-repeat cells for heat3d_n3_cost_summary.csv. All 24 admitted.
# revision 040c9b6c13c3cd0842eb182473dd1cdf47616c66 dirty=0.
tag,repeat,N,method,fd_order,job,wall_step_ms,n_accepted,gpu_aware,use_pencils,revision,dirty,bin_sha256,account,partition,nodes,ntasks,run_dir,admitted,reject_reason
n1024_fd12_r1,1,1024,fd,12,22209970,24.614151000008633,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n1024_fd12_r1_22209970,yes,
n1024_fd12_r2,2,1024,fd,12,22209971,24.701364999998532,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n1024_fd12_r2_22209971,yes,
n1024_fd12_r3,3,1024,fd,12,22209972,24.834702000006814,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n1024_fd12_r3_22209972,yes,
n1024_fd2_r1,1,1024,fd,2,22209970,6.577313000001084,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n1024_fd2_r1_22209970,yes,
n1024_fd2_r2,2,1024,fd,2,22209971,6.57217900000262,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n1024_fd2_r2_22209971,yes,
n1024_fd2_r3,3,1024,fd,2,22209972,6.567533000001902,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n1024_fd2_r3_22209972,yes,
n1024_fd8_r1,1,1024,fd,8,22209970,18.27548099999632,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n1024_fd8_r1_22209970,yes,
n1024_fd8_r2,2,1024,fd,8,22209971,18.500977999998724,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n1024_fd8_r2_22209971,yes,
n1024_fd8_r3,3,1024,fd,8,22209972,18.31938899999841,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n1024_fd8_r3_22209972,yes,
n1024_spectral_r1,1,1024,spectral,0,22209970,187.8827960000038,25,1,0,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,df4e459c19ede6d751c4d605481b7a7d6f9dacd85154d1aab6cb88c84dd60cb8,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n1024_spectral_r1_22209970,yes,
n1024_spectral_r2,2,1024,spectral,0,22209971,183.31553699999859,25,1,0,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,df4e459c19ede6d751c4d605481b7a7d6f9dacd85154d1aab6cb88c84dd60cb8,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n1024_spectral_r2_22209971,yes,
n1024_spectral_r3,3,1024,spectral,0,22209972,184.385896000002,25,1,0,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,df4e459c19ede6d751c4d605481b7a7d6f9dacd85154d1aab6cb88c84dd60cb8,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n1024_spectral_r3_22209972,yes,
n512_fd12_r1,1,512,fd,12,22209970,2.5444459999999225,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_fd12_r1_22209970,yes,
n512_fd12_r2,2,512,fd,12,22209971,2.5536469999991596,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_fd12_r2_22209971,yes,
n512_fd12_r3,3,512,fd,12,22209972,2.5530890000027284,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_fd12_r3_22209972,yes,
n512_fd2_r1,1,512,fd,2,22209970,0.8559440000013296,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_fd2_r1_22209970,yes,
