family,job,account,nodes,ranks,partition,Nx,Ny,Nz,local_inbox,inbox_xyz,outbox_xyz,real_grid,complex_grid,reshape,use_pencils,use_reorder,use_gpu_aware,admit,reason,revision,dirty,bin_sha256,heffte_module,mpi_module,wall_step_s,wall_step_spread_s,checksum,maxrss_kb,scratch
512,22178087,project_462001245,128,1024,standard-g,512,512,524288,512x512x512,512x512x512,129x1x524288,1x1x1024,2x512x1,p2p_plined,0,1,1,ok,none,e9ebd95602cae04eb7c5e4345cc75f766b4c2698,0,17c7cfba804f9a13a89d2a431aebc82340cfa094887212dad66757131b1d1457,,cray-mpich/9.0.1 cpeGNU/25.09,0.93497996,0.09515971,HEAT3D_SPECTRAL_HIP_CHECKSUM sum_u=11.735057365395562 sumsq_u=2.4422677390080807 l2=1.5627756521676681,,/scratch/project_462001245/juaho/openpfc-scaling/heffte-protocol-tournament/runs/h3dpt-512-128n-r1_22178087/p2p_plined
512,22178087,project_462001245,128,1024,standard-g,512,512,524288,512x512x512,512x512x512,129x1x524288,1x1x1024,2x512x1,p2p,0,1,1,ok,none,e9ebd95602cae04eb7c5e4345cc75f766b4c2698,0,17c7cfba804f9a13a89d2a431aebc82340cfa094887212dad66757131b1d1457,,cray-mpich/9.0.1 cpeGNU/25.09,3.06606728,0.52311328,HEAT3D_SPECTRAL_HIP_CHECKSUM sum_u=11.735057365395562 sumsq_u=2.4422677390080807 l2=1.5627756521676681,,/scratch/project_462001245/juaho/openpfc-scaling/heffte-protocol-tournament/runs/h3dpt-512-128n-r1_22178087/p2p
512,22178087,project_462001245,128,1024,standard-g,512,512,524288,512x512x512,512x512x512,129x1x524288,1x1x1024,2x512x1,alltoallv,0,1,1,ok,none,e9ebd95602cae04eb7c5e4345cc75f766b4c2698,0,17c7cfba804f9a13a89d2a431aebc82340cfa094887212dad66757131b1d1457,,cray-mpich/9.0.1 cpeGNU/25.09,1.08276668,0.30819833,HEAT3D_SPECTRAL_HIP_CHECKSUM sum_u=11.735057365395562 sumsq_u=2.4422677390080807 l2=1.5627756521676681,,/scratch/project_462001245/juaho/openpfc-scaling/heffte-protocol-tournament/runs/h3dpt-512-128n-r1_22178087/alltoallv
512,22178087,project_462001245,128,1024,standard-g,512,512,524288,512x512x512,512x512x512,129x1x524288,1x1x1024,2x512x1,alltoall,0,1,1,ok,none,e9ebd95602cae04eb7c5e4345cc75f766b4c2698,0,17c7cfba804f9a13a89d2a431aebc82340cfa094887212dad66757131b1d1457,,cray-mpich/9.0.1 cpeGNU/25.09,1.07516674,0.49607585,HEAT3D_SPECTRAL_HIP_CHECKSUM sum_u=11.735057365395562 sumsq_u=2.4422677390080807 l2=1.5627756521676681,,/scratch/project_462001245/juaho/openpfc-scaling/heffte-protocol-tournament/runs/h3dpt-512-128n-r1_22178087/alltoall
512,22178088,project_462001245,128,1024,standard-g,512,512,524288,512x512x512,512x512x512,129x1x524288,1x1x1024,2x512x1,p2p_plined,0,1,1,ok,none,e9ebd95602cae04eb7c5e4345cc75f766b4c2698,0,17c7cfba804f9a13a89d2a431aebc82340cfa094887212dad66757131b1d1457,,cray-mpich/9.0.1 cpeGNU/25.09,0.92180715,0.09274596,HEAT3D_SPECTRAL_HIP_CHECKSUM sum_u=11.735057365395562 sumsq_u=2.4422677390080807 l2=1.5627756521676681,,/scratch/project_462001245/juaho/openpfc-scaling/heffte-protocol-tournament/runs/h3dpt-512-128n-r2_22178088/p2p_plined
512,22178088,project_462001245,128,1024,standard-g,512,512,524288,512x512x512,512x512x512,129x1x524288,1x1x1024,2x512x1,p2p,0,1,1,ok,none,e9ebd95602cae04eb7c5e4345cc75f766b4c2698,0,17c7cfba804f9a13a89d2a431aebc82340cfa094887212dad66757131b1d1457,,cray-mpich/9.0.1 cpeGNU/25.09,3.06968641,0.36066071,HEAT3D_SPECTRAL_HIP_CHECKSUM sum_u=11.735057365395562 sumsq_u=2.4422677390080807 l2=1.5627756521676681,,/scratch/project_462001245/juaho/openpfc-scaling/heffte-protocol-tournament/runs/h3dpt-512-128n-r2_22178088/p2p
512,22178088,project_462001245,128,1024,standard-g,512,512,524288,512x512x512,512x512x512,129x1x524288,1x1x1024,2x512x1,alltoallv,0,1,1,ok,none,e9ebd95602cae04eb7c5e4345cc75f766b4c2698,0,17c7cfba804f9a13a89d2a431aebc82340cfa094887212dad66757131b1d1457,,cray-mpich/9.0.1 cpeGNU/25.09,1.07901842,0.31321041,HEAT3D_SPECTRAL_HIP_CHECKSUM sum_u=11.735057365395562 sumsq_u=2.4422677390080807 l2=1.5627756521676681,,/scratch/project_462001245/juaho/openpfc-scaling/heffte-protocol-tournament/runs/h3dpt-512-128n-r2_22178088/alltoallv
512,22178088,project_462001245,128,1024,standard-g,512,512,524288,512x512x512,512x512x512,129x1x524288,1x1x1024,2x512x1,alltoall,0,1,1,ok,none,e9ebd95602cae04eb7c5e4345cc75f766b4c2698,0,17c7cfba804f9a13a89d2a431aebc82340cfa094887212dad66757131b1d1457,,cray-mpich/9.0.1 cpeGNU/25.09,1.07481393,0.49570328,HEAT3D_SPECTRAL_HIP_CHECKSUM sum_u=11.735057365395562 sumsq_u=2.4422677390080807 l2=1.5627756521676681,,/scratch/project_462001245/juaho/openpfc-scaling/heffte-protocol-tournament/runs/h3dpt-512-128n-r2_22178088/alltoall
512,22178082,project_462001245,16,128,standard-g,512,512,65536,512x512x512,512x512x512,257x4x65536,1x1x128,1x128x1,p2p_plined,0,1,1,ok,none,e9ebd95602cae04eb7c5e4345cc75f766b4c2698,0,17c7cfba804f9a13a89d2a431aebc82340cfa094887212dad66757131b1d1457,,cray-mpich/9.0.1 cpeGNU/25.09,0.46439509,0.06795099,HEAT3D_SPECTRAL_HIP_CHECKSUM sum_u=11.735057365394409 sumsq_u=2.4422677390021641 l2=1.5627756521657752,,/scratch/project_462001245/juaho/openpfc-scaling/heffte-protocol-tournament/runs/h3dpt-512-16n-r1_22178082/p2p_plined
512,22178082,project_462001245,16,128,standard-g,512,512,65536,512x512x512,512x512x512,257x4x65536,1x1x128,1x128x1,p2p,0,1,1,ok,none,e9ebd95602cae04eb7c5e4345cc75f766b4c2698,0,17c7cfba804f9a13a89d2a431aebc82340cfa094887212dad66757131b1d1457,,cray-mpich/9.0.1 cpeGNU/25.09,0.79008326,0.08825833,HEAT3D_SPECTRAL_HIP_CHECKSUM sum_u=11.735057365394409 sumsq_u=2.4422677390021641 l2=1.5627756521657752,,/scratch/project_462001245/juaho/openpfc-scaling/heffte-protocol-tournament/runs/h3dpt-512-16n-r1_22178082/p2p
