family,reshape,nodes,ranks,Nx,Ny,Nz,n_repeats,wall_step_s_median,wall_step_s_min,wall_step_s_max,weak_eff,rel_p2p_plined,t_double,penalty_per_doubling,rank_at_scale,jobs
512,alltoall,1,1,512,512,512,1,0.11468431,0.11468431,0.11468431,1.0000,1.0009,,,4,22179789
512,alltoall,1,8,512,512,4096,1,0.15304030,0.15304030,0.15304030,0.7494,1.2004,,,2,22178078
512,alltoall,2,16,512,512,8192,1,0.27483293,0.27483293,0.27483293,0.4173,1.1034,1.7958,0.7958,3,22178079
512,alltoall,4,32,512,512,16384,1,0.33010698,0.33010698,0.33010698,0.3474,0.9283,1.2011,0.2011,2,22178080
512,alltoall,8,64,512,512,32768,1,0.39059249,0.39059249,0.39059249,0.2936,0.8772,1.1832,0.1832,1,22178081
512,alltoall,16,128,512,512,65536,1,0.44842330,0.44842330,0.44842330,0.2558,0.9656,1.1481,0.1481,1,22178082
512,alltoall,32,256,512,512,131072,2,0.54238038,0.54128002,0.54348075,0.2114,1.3195,1.2095,0.2095,2,"22178083,22178084"
512,alltoall,64,512,512,512,262144,2,0.72505630,0.72017054,0.72994205,0.1582,1.3550,1.3368,0.3368,2,"22178085,22178086"
512,alltoall,128,1024,512,512,524288,2,1.07499033,1.07481393,1.07516674,0.1067,1.1579,1.4826,0.4826,2,"22178087,22178088"
512,alltoallv,1,1,512,512,512,1,0.11426214,0.11426214,0.11426214,1.0000,0.9972,,,1,22179789
512,alltoallv,1,8,512,512,4096,1,0.22024982,0.22024982,0.22024982,0.5188,1.7276,,,4,22178078
512,alltoallv,2,16,512,512,8192,1,0.25661537,0.25661537,0.25661537,0.4453,1.0302,1.1651,0.1651,2,22178079
512,alltoallv,4,32,512,512,16384,1,0.32731066,0.32731066,0.32731066,0.3491,0.9204,1.2755,0.2755,1,22178080
512,alltoallv,8,64,512,512,32768,1,0.41150078,0.41150078,0.41150078,0.2777,0.9241,1.2572,0.2572,2,22178081
512,alltoallv,16,128,512,512,65536,1,0.47682506,0.47682506,0.47682506,0.2396,1.0268,1.1587,0.1587,3,22178082
512,alltoallv,32,256,512,512,131072,2,0.56584413,0.56542569,0.56626257,0.2019,1.3765,1.1867,0.1867,3,"22178083,22178084"
512,alltoallv,64,512,512,512,262144,2,0.74352272,0.73892249,0.74812294,0.1537,1.3895,1.3140,0.3140,3,"22178085,22178086"
