# OpenPFC #106 HeFFTe 768^3/GCD pooled medians. Incomplete node counts omitted from ranking claims.
# Do not change the production reshape default from these numbers.
family,reshape,nodes,ranks,n_repeats,wall_step_s_median,wall_step_s_min,wall_step_s_max,ratio_to_best,rank_at_scale,local_slope,neighbor_nodes,outbox_elems,complex_grid,jobs
768,alltoall,124,992,3,2.01407428,1.84449074,2.01430459,1.0000,1,0.9799,124-128,237699072,30x32x1,"22186595,22186597,22186599"
768,alltoall,128,1024,1,1.97361094,1.97361094,1.97361094,1.1493,2,"0.9799,0.7504",124-128-136,228851712,4x256x1,22186602
768,alltoall,136,1088,3,1.48109048,1.47843590,1.48177879,1.0000,1,"0.7504,1.2630",128-136-264,230621184,17x64x1,"22186611,22186612,22186614"
768,alltoall,264,2112,2,1.87066234,1.87036868,1.87095600,1.0000,1,1.2630,136-264-512,227082240,11x192x1,"22186644,22186647"
768,alltoall,528,4224,2,2.49623401,2.49598151,2.49648651,1.0014,2,,512-528,227082240,11x384x1,"22186679,22186681"
768,alltoallv,124,992,3,2.01541382,1.84483563,2.02983177,1.0007,2,0.9940,124-128,237699072,30x32x1,"22186595,22186597,22186599"
768,alltoallv,128,1024,1,2.00337655,2.00337655,2.00337655,1.1666,3,"0.9940,0.7482",124-128-136,228851712,4x256x1,22186602
768,alltoallv,136,1088,3,1.49887770,1.49016899,1.50578504,1.0120,2,"0.7482,1.2708",128-136-264,230621184,17x64x1,"22186611,22186612,22186614"
768,alltoallv,264,2112,2,1.90470921,1.90432854,1.90508987,1.0182,2,"1.2708,1.0913",136-264-512,227082240,11x192x1,"22186644,22186647"
768,alltoallv,512,4096,1,2.07868899,2.07868899,2.07868899,1.0000,1,"1.0913,1.1992",264-512-528,235929600,16x256x1,22186670
768,alltoallv,528,4224,3,2.49276834,2.49144776,2.49289113,1.0000,1,1.1992,512-528,227082240,11x384x1,"22186679,22186681,22186683"
768,p2p,124,992,3,2.53383342,2.50317969,2.61300695,1.2581,4,1.7130,124-128,237699072,30x32x1,"22186595,22186597,22186599"
768,p2p,128,1024,1,4.34047116,4.34047116,4.34047116,2.5275,4,"1.7130,0.5861",124-128-136,228851712,4x256x1,22186602
768,p2p,136,1088,3,2.54392295,2.45493758,2.54919724,1.7176,4,"0.5861,1.6548",128-136-264,230621184,17x64x1,"22186611,22186612,22186614"
768,p2p,264,2112,2,4.20956903,4.19580179,4.22333627,2.2503,4,1.6548,136-264-512,227082240,11x192x1,"22186644,22186647"
768,p2p,528,4224,2,7.69944309,7.51697722,7.88190895,3.0887,4,,512-528,227082240,11x384x1,"22186679,22186681"
768,p2p_plined,124,992,3,2.43325531,2.40025942,2.51890583,1.2081,3,0.7057,124-128,237699072,30x32x1,"22186595,22186597,22186599"
768,p2p_plined,128,1024,1,1.71726521,1.71726521,1.71726521,1.0000,1,"0.7057,1.1312",124-128-136,228851712,4x256x1,22186602
768,p2p_plined,136,1088,3,1.94263340,1.93731888,1.95295958,1.3116,3,"1.1312,1.1288",128-136-264,230621184,17x64x1,"22186611,22186612,22186614"
768,p2p_plined,264,2112,2,2.19293839,2.18118420,2.20469257,1.1723,3,1.1288,136-264-512,227082240,11x192x1,"22186644,22186647"
768,p2p_plined,528,4224,2,2.79671307,2.78548690,2.80793923,1.1219,3,,512-528,227082240,11x384x1,"22186679,22186681"
