issue,family,nodes,ranks,reshape,real_grid,complex_grid,inbox_xyz,outbox_xyz,n_reshape_stages,n_mpi_reshapes,n_local_reshapes,n_identity,predicted_all_peer_rounds_per_cycle,comm_group_size,n_peers,n_onnode_peers,n_offnode_peers,bytes_per_rank_per_reshape,bytes_per_timestep,bytes_per_peer,node_local,plan_source,model_features
106,768,112,896,p2p_plined,1x1x896,7x128x1,768x768x768,55x6x688128,1,1,0,3,2,896,895,7,888,3633315840,7266631680,4055040,no,openpfc_slab_r2c_min_reshape_replica,n_messages=1790;bytes=7266631680;n_peers=895
106,768,112,896,p2p,1x1x896,7x128x1,768x768x768,55x6x688128,1,1,0,3,2,896,895,7,888,3633315840,7266631680,4055040,no,openpfc_slab_r2c_min_reshape_replica,n_messages=1790;bytes=7266631680;n_peers=895
106,768,112,896,alltoallv,1x1x896,7x128x1,768x768x768,55x6x688128,1,1,0,3,2,896,895,7,888,3633315840,7266631680,4055040,no,openpfc_slab_r2c_min_reshape_replica,n_messages=2;bytes=7266631680;n_peers=895
106,768,112,896,alltoall,1x1x896,7x128x1,768x768x768,55x6x688128,1,1,0,3,2,896,895,7,888,3633315840,7266631680,4055040,no,openpfc_slab_r2c_min_reshape_replica,n_messages=2;bytes=7266631680;n_peers=895
106,768,124,992,p2p_plined,1x1x992,31x32x1,768x768x768,13x24x761856,1,1,0,3,2,992,991,7,984,3803185152,7606370304,3833856,no,openpfc_slab_r2c_min_reshape_replica,n_messages=1982;bytes=7606370304;n_peers=991
106,768,124,992,p2p,1x1x992,31x32x1,768x768x768,13x24x761856,1,1,0,3,2,992,991,7,984,3803185152,7606370304,3833856,no,openpfc_slab_r2c_min_reshape_replica,n_messages=1982;bytes=7606370304;n_peers=991
106,768,124,992,alltoallv,1x1x992,31x32x1,768x768x768,13x24x761856,1,1,0,3,2,992,991,7,984,3803185152,7606370304,3833856,no,openpfc_slab_r2c_min_reshape_replica,n_messages=2;bytes=7606370304;n_peers=991
106,768,124,992,alltoall,1x1x992,31x32x1,768x768x768,13x24x761856,1,1,0,3,2,992,991,7,984,3803185152,7606370304,3833856,no,openpfc_slab_r2c_min_reshape_replica,n_messages=2;bytes=7606370304;n_peers=991
106,768,128,1024,p2p_plined,1x1x1024,4x256x1,768x768x768,97x3x786432,1,1,0,3,2,1024,1023,7,1016,3661627392,7323254784,3575808,no,openpfc_slab_r2c_min_reshape_replica,n_messages=2046;bytes=7323254784;n_peers=1023
106,768,128,1024,p2p,1x1x1024,4x256x1,768x768x768,97x3x786432,1,1,0,3,2,1024,1023,7,1016,3661627392,7323254784,3575808,no,openpfc_slab_r2c_min_reshape_replica,n_messages=2046;bytes=7323254784;n_peers=1023
