# Predeclared held-out RK4 of the shipped FD stack against Parseval for every builtin occupancy-matched family. Same orders, f, n/2n steps and 1e-6 |ratio-1| bound as the Gaussian N=128 protocol; N=32 because non-Gaussian ICs are cosine sums. Do not retune.
family_id,fd_order,N,content_fraction,tau,n_steps,dt,t_final,predicted_l2,measured_l2,ratio
gaussian,2,32,3.0000000000e-01,1.0000000000e+00,200,2.1701388889e-04,4.3402777778e-02,1.2798910377e-03,1.2798910377e-03,1.0000000000e+00
gaussian,2,32,3.0000000000e-01,1.0000000000e+00,400,1.0850694444e-04,4.3402777778e-02,1.2798910377e-03,1.2798910377e-03,1.0000000000e+00
gaussian,2,32,6.0000000000e-01,1.0000000000e+00,200,5.4253472222e-05,1.0850694444e-02,5.0490836363e-03,5.0490836363e-03,1.0000000000e+00
gaussian,2,32,6.0000000000e-01,1.0000000000e+00,400,2.7126736111e-05,1.0850694444e-02,5.0490836363e-03,5.0490836363e-03,1.0000000000e+00
gaussian,12,32,3.0000000000e-01,1.0000000000e+00,800,5.4253472222e-05,4.3402777778e-02,3.1159443100e-09,3.1159441341e-09,9.9999994356e-01
gaussian,12,32,3.0000000000e-01,1.0000000000e+00,1600,2.7126736111e-05,4.3402777778e-02,3.1159443100e-09,3.1159441334e-09,9.9999994333e-01
gaussian,12,32,6.0000000000e-01,1.0000000000e+00,800,1.3563368056e-05,1.0850694444e-02,5.5413760787e-06,5.5413760783e-06,9.9999999994e-01
gaussian,12,32,6.0000000000e-01,1.0000000000e+00,1600,6.7816840278e-06,1.0850694444e-02,5.5413760787e-06,5.5413760781e-06,9.9999999990e-01
isotropic_tophat,2,32,3.0000000000e-01,1.0000000000e+00,200,2.1701388889e-04,4.3402777778e-02,1.0148681881e-02,1.0148681881e-02,1.0000000001e+00
isotropic_tophat,2,32,3.0000000000e-01,1.0000000000e+00,400,1.0850694444e-04,4.3402777778e-02,1.0148681881e-02,1.0148681881e-02,1.0000000000e+00
isotropic_tophat,2,32,6.0000000000e-01,1.0000000000e+00,200,5.4253472222e-05,1.0850694444e-02,4.2544267893e-02,4.2544267893e-02,1.0000000000e+00
isotropic_tophat,2,32,6.0000000000e-01,1.0000000000e+00,400,2.7126736111e-05,1.0850694444e-02,4.2544267893e-02,4.2544267893e-02,1.0000000000e+00
isotropic_tophat,12,32,3.0000000000e-01,1.0000000000e+00,800,5.4253472222e-05,4.3402777778e-02,8.2224602364e-08,8.2224604747e-08,1.0000000290e+00
isotropic_tophat,12,32,3.0000000000e-01,1.0000000000e+00,1600,2.7126736111e-05,4.3402777778e-02,8.2224602364e-08,8.2224603074e-08,1.0000000086e+00
isotropic_tophat,12,32,6.0000000000e-01,1.0000000000e+00,800,1.3563368056e-05,1.0850694444e-02,3.0881125383e-04,3.0881125384e-04,1.0000000000e+00
isotropic_tophat,12,32,6.0000000000e-01,1.0000000000e+00,1600,6.7816840278e-06,1.0850694444e-02,3.0881125383e-04,3.0881125383e-04,1.0000000000e+00
isotropic_exponential,2,32,3.0000000000e-01,1.0000000000e+00,200,2.1701388889e-04,4.3402777778e-02,7.6674779715e-04,7.6674779716e-04,1.0000000000e+00
isotropic_exponential,2,32,3.0000000000e-01,1.0000000000e+00,400,1.0850694444e-04,4.3402777778e-02,7.6674779715e-04,7.6674779715e-04,1.0000000000e+00
isotropic_exponential,2,32,6.0000000000e-01,1.0000000000e+00,200,5.4253472222e-05,1.0850694444e-02,3.7610289770e-03,3.7610289770e-03,1.0000000000e+00
isotropic_exponential,2,32,6.0000000000e-01,1.0000000000e+00,400,2.7126736111e-05,1.0850694444e-02,3.7610289770e-03,3.7610289770e-03,1.0000000000e+00
