# Parseval spatial L2 error vs occupancy f for each family. fd_order 0 is the spectral operator (identically zero).
family_id,fd_order,content_fraction,N,dim,tau,l2_error
gaussian,0,1.0000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,1.0000000000e-01,64,3,1.0000000000e+00,1.3960826672e-04
gaussian,4,1.0000000000e-01,64,3,1.0000000000e+00,5.7563021330e-07
gaussian,6,1.0000000000e-01,64,3,1.0000000000e+00,3.8298220560e-09
gaussian,8,1.0000000000e-01,64,3,1.0000000000e+00,3.5982011283e-11
gaussian,12,1.0000000000e-01,64,3,1.0000000000e+00,7.9954171476e-15
gaussian,0,1.5000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,1.5000000000e-01,64,3,1.0000000000e+00,3.2097915449e-04
gaussian,4,1.5000000000e-01,64,3,1.0000000000e+00,2.7984715071e-06
gaussian,6,1.5000000000e-01,64,3,1.0000000000e+00,4.2978890820e-08
gaussian,8,1.5000000000e-01,64,3,1.0000000000e+00,9.4499243563e-10
gaussian,12,1.5000000000e-01,64,3,1.0000000000e+00,9.5293425214e-13
gaussian,0,2.0000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,2.0000000000e-01,64,3,1.0000000000e+00,5.6966728054e-04
gaussian,4,2.0000000000e-01,64,3,1.0000000000e+00,8.7934585201e-06
gaussian,6,2.0000000000e-01,64,3,1.0000000000e+00,2.3798328212e-07
gaussian,8,2.0000000000e-01,64,3,1.0000000000e+00,9.2050385080e-09
gaussian,12,2.0000000000e-01,64,3,1.0000000000e+00,2.8368014235e-11
gaussian,0,2.5000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,2.5000000000e-01,64,3,1.0000000000e+00,8.8917015961e-04
gaussian,4,2.5000000000e-01,64,3,1.0000000000e+00,2.1301182541e-05
gaussian,6,2.5000000000e-01,64,3,1.0000000000e+00,8.9141701614e-07
gaussian,8,2.5000000000e-01,64,3,1.0000000000e+00,5.3088317638e-08
gaussian,12,2.5000000000e-01,64,3,1.0000000000e+00,3.8284665656e-10
gaussian,0,3.0000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,3.0000000000e-01,64,3,1.0000000000e+00,1.2787547969e-03
gaussian,4,3.0000000000e-01,64,3,1.0000000000e+00,4.3754401559e-05
gaussian,6,3.0000000000e-01,64,3,1.0000000000e+00,2.6034411837e-06
gaussian,8,3.0000000000e-01,64,3,1.0000000000e+00,2.1932882688e-07
gaussian,12,3.0000000000e-01,64,3,1.0000000000e+00,3.1164815779e-09
gaussian,0,3.5000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,3.5000000000e-01,64,3,1.0000000000e+00,1.7378631373e-03
gaussian,4,3.5000000000e-01,64,3,1.0000000000e+00,8.0170131608e-05
gaussian,6,3.5000000000e-01,64,3,1.0000000000e+00,6.3966667733e-06
gaussian,8,3.5000000000e-01,64,3,1.0000000000e+00,7.1838191377e-07
gaussian,12,3.5000000000e-01,64,3,1.0000000000e+00,1.7821684212e-08
gaussian,0,4.0000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,4.0000000000e-01,64,3,1.0000000000e+00,2.2658301405e-03
gaussian,4,4.0000000000e-01,64,3,1.0000000000e+00,1.3505765653e-04
gaussian,6,4.0000000000e-01,64,3,1.0000000000e+00,1.3836570915e-05
gaussian,8,4.0000000000e-01,64,3,1.0000000000e+00,1.9820550294e-06
gaussian,12,4.0000000000e-01,64,3,1.0000000000e+00,7.8440754670e-08
gaussian,0,4.5000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,4.5000000000e-01,64,3,1.0000000000e+00,2.8618810360e-03
gaussian,4,4.5000000000e-01,64,3,1.0000000000e+00,2.1331863687e-04
gaussian,6,4.5000000000e-01,64,3,1.0000000000e+00,2.7134713931e-05
gaussian,8,4.5000000000e-01,64,3,1.0000000000e+00,4.7909167442e-06
gaussian,12,4.5000000000e-01,64,3,1.0000000000e+00,2.8195409588e-07
gaussian,0,5.0000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,5.0000000000e-01,64,3,1.0000000000e+00,3.5251285116e-03
gaussian,4,5.0000000000e-01,64,3,1.0000000000e+00,3.2014354795e-04
gaussian,6,5.0000000000e-01,64,3,1.0000000000e+00,4.9224176190e-05
gaussian,8,5.0000000000e-01,64,3,1.0000000000e+00,1.0422086903e-05
gaussian,12,5.0000000000e-01,64,3,1.0000000000e+00,8.6214497228e-07
gaussian,0,5.5000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,5.5000000000e-01,64,3,1.0000000000e+00,4.2545697817e-03
gaussian,4,5.5000000000e-01,64,3,1.0000000000e+00,4.6090708520e-04
gaussian,6,5.5000000000e-01,64,3,1.0000000000e+00,8.3799784707e-05
gaussian,8,5.5000000000e-01,64,3,1.0000000000e+00,2.0802494862e-05
gaussian,12,5.5000000000e-01,64,3,1.0000000000e+00,2.3095848281e-06
gaussian,0,6.0000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,6.0000000000e-01,64,3,1.0000000000e+00,5.0490836363e-03
gaussian,4,6.0000000000e-01,64,3,1.0000000000e+00,6.4106465118e-04
gaussian,6,6.0000000000e-01,64,3,1.0000000000e+00,1.3531915436e-04
gaussian,8,6.0000000000e-01,64,3,1.0000000000e+00,3.8649721932e-05
gaussian,12,6.0000000000e-01,64,3,1.0000000000e+00,5.5413760840e-06
gaussian,0,6.5000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,6.5000000000e-01,64,3,1.0000000000e+00,5.9074275895e-03
gaussian,4,6.5000000000e-01,64,3,1.0000000000e+00,8.6605150526e-04
gaussian,6,6.5000000000e-01,64,3,1.0000000000e+00,2.0896379657e-04
gaussian,8,6.5000000000e-01,64,3,1.0000000000e+00,6.7582548804e-05
gaussian,12,6.5000000000e-01,64,3,1.0000000000e+00,1.2112326151e-05
gaussian,0,7.0000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,7.0000000000e-01,64,3,1.0000000000e+00,6.8282352523e-03
gaussian,4,7.0000000000e-01,64,3,1.0000000000e+00,1.1411856944e-03
gaussian,6,7.0000000000e-01,64,3,1.0000000000e+00,3.1056217509e-04
gaussian,8,7.0000000000e-01,64,3,1.0000000000e+00,1.1218589760e-04
gaussian,12,7.0000000000e-01,64,3,1.0000000000e+00,2.4446352815e-05
gaussian,0,7.5000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,7.5000000000e-01,64,3,1.0000000000e+00,7.8100140069e-03
gaussian,4,7.5000000000e-01,64,3,1.0000000000e+00,1.4715753946e-03
gaussian,6,7.5000000000e-01,64,3,1.0000000000e+00,4.4647818573e-04
gaussian,8,7.5000000000e-01,64,3,1.0000000000e+00,1.7801859754e-04
gaussian,12,7.5000000000e-01,64,3,1.0000000000e+00,4.6055631694e-05
gaussian,0,8.0000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,8.0000000000e-01,64,3,1.0000000000e+00,8.8511421837e-03
gaussian,4,8.0000000000e-01,64,3,1.0000000000e+00,1.8620291910e-03
gaussian,6,8.0000000000e-01,64,3,1.0000000000e+00,6.2346632064e-04
gaussian,8,8.0000000000e-01,64,3,1.0000000000e+00,2.7155194159e-04
gaussian,12,8.0000000000e-01,64,3,1.0000000000e+00,8.1699886088e-05
gaussian,0,8.5000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,8.5000000000e-01,64,3,1.0000000000e+00,9.9498589934e-03
gaussian,4,8.5000000000e-01,64,3,1.0000000000e+00,2.3169562417e-03
gaussian,6,8.5000000000e-01,64,3,1.0000000000e+00,8.4847701004e-04
gaussian,8,8.5000000000e-01,64,3,1.0000000000e+00,4.0000595688e-04
gaussian,12,8.5000000000e-01,64,3,1.0000000000e+00,1.3739983009e-04
gaussian,0,9.0000000000e-01,64,3,1.0000000000e+00,0
gaussian,2,9.0000000000e-01,64,3,1.0000000000e+00,1.1104219052e-02
gaussian,4,9.0000000000e-01,64,3,1.0000000000e+00,2.8402076513e-03
gaussian,6,9.0000000000e-01,64,3,1.0000000000e+00,1.1283473493e-03
gaussian,8,9.0000000000e-01,64,3,1.0000000000e+00,5.7099673758e-04
gaussian,12,9.0000000000e-01,64,3,1.0000000000e+00,2.2016203260e-04
isotropic_tophat,0,1.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,1.0000000000e-01,64,3,1.0000000000e+00,1.3348352503e-03
isotropic_tophat,4,1.0000000000e-01,64,3,1.0000000000e+00,1.3193243149e-05
isotropic_tophat,6,1.0000000000e-01,64,3,1.0000000000e+00,1.7704640760e-07
isotropic_tophat,8,1.0000000000e-01,64,3,1.0000000000e+00,2.6958278692e-09
isotropic_tophat,12,1.0000000000e-01,64,3,1.0000000000e+00,7.4883003632e-13
isotropic_tophat,0,1.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,1.5000000000e-01,64,3,1.0000000000e+00,2.5410046842e-03
isotropic_tophat,4,1.5000000000e-01,64,3,1.0000000000e+00,4.4308370659e-05
isotropic_tophat,6,1.5000000000e-01,64,3,1.0000000000e+00,1.0354944145e-06
isotropic_tophat,8,1.5000000000e-01,64,3,1.0000000000e+00,2.7655930258e-08
isotropic_tophat,12,1.5000000000e-01,64,3,1.0000000000e+00,2.3920565428e-11
isotropic_tophat,0,2.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,2.0000000000e-01,64,3,1.0000000000e+00,4.6680903028e-03
isotropic_tophat,4,2.0000000000e-01,64,3,1.0000000000e+00,1.5885550548e-04
isotropic_tophat,6,2.0000000000e-01,64,3,1.0000000000e+00,7.5972148733e-06
isotropic_tophat,8,2.0000000000e-01,64,3,1.0000000000e+00,4.2888414726e-07
isotropic_tophat,12,2.0000000000e-01,64,3,1.0000000000e+00,1.7498938999e-09
isotropic_tophat,0,2.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,2.5000000000e-01,64,3,1.0000000000e+00,7.1211607782e-03
isotropic_tophat,4,2.5000000000e-01,64,3,1.0000000000e+00,3.4861137648e-04
isotropic_tophat,6,2.5000000000e-01,64,3,1.0000000000e+00,2.3647923230e-05
isotropic_tophat,8,2.5000000000e-01,64,3,1.0000000000e+00,1.8958986824e-06
isotropic_tophat,12,2.5000000000e-01,64,3,1.0000000000e+00,1.6397722040e-08
isotropic_tophat,0,3.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,3.0000000000e-01,64,3,1.0000000000e+00,1.0701039316e-02
isotropic_tophat,4,3.0000000000e-01,64,3,1.0000000000e+00,7.8258437288e-04
isotropic_tophat,6,3.0000000000e-01,64,3,1.0000000000e+00,7.9824246955e-05
isotropic_tophat,8,3.0000000000e-01,64,3,1.0000000000e+00,9.5825185426e-06
isotropic_tophat,12,3.0000000000e-01,64,3,1.0000000000e+00,1.7780780946e-07
isotropic_tophat,0,3.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,3.5000000000e-01,64,3,1.0000000000e+00,1.4333655666e-02
isotropic_tophat,4,3.5000000000e-01,64,3,1.0000000000e+00,1.3849005885e-03
isotropic_tophat,6,3.5000000000e-01,64,3,1.0000000000e+00,1.8770631014e-04
isotropic_tophat,8,3.5000000000e-01,64,3,1.0000000000e+00,3.0178397780e-05
isotropic_tophat,12,3.5000000000e-01,64,3,1.0000000000e+00,1.0352237678e-06
isotropic_tophat,0,4.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,4.0000000000e-01,64,3,1.0000000000e+00,1.8667452622e-02
isotropic_tophat,4,4.0000000000e-01,64,3,1.0000000000e+00,2.2943025481e-03
isotropic_tophat,6,4.0000000000e-01,64,3,1.0000000000e+00,3.9168040330e-04
isotropic_tophat,8,4.0000000000e-01,64,3,1.0000000000e+00,7.8476194521e-05
isotropic_tophat,12,4.0000000000e-01,64,3,1.0000000000e+00,4.0497894997e-06
isotropic_tophat,0,4.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,4.5000000000e-01,64,3,1.0000000000e+00,2.3849108803e-02
isotropic_tophat,4,4.5000000000e-01,64,3,1.0000000000e+00,3.6693458704e-03
isotropic_tophat,6,4.5000000000e-01,64,3,1.0000000000e+00,7.8695135779e-04
isotropic_tophat,8,4.5000000000e-01,64,3,1.0000000000e+00,1.9890985362e-04
isotropic_tophat,12,4.5000000000e-01,64,3,1.0000000000e+00,1.6533094976e-05
isotropic_tophat,0,5.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,5.0000000000e-01,64,3,1.0000000000e+00,2.8990483459e-02
isotropic_tophat,4,5.0000000000e-01,64,3,1.0000000000e+00,5.2731458836e-03
isotropic_tophat,6,5.0000000000e-01,64,3,1.0000000000e+00,1.3240913460e-03
isotropic_tophat,8,5.0000000000e-01,64,3,1.0000000000e+00,3.8908743045e-04
isotropic_tophat,12,5.0000000000e-01,64,3,1.0000000000e+00,4.3028035166e-05
isotropic_tophat,0,5.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,5.5000000000e-01,64,3,1.0000000000e+00,3.5523692826e-02
isotropic_tophat,4,5.5000000000e-01,64,3,1.0000000000e+00,7.7478578792e-03
isotropic_tophat,6,5.5000000000e-01,64,3,1.0000000000e+00,2.3288757428e-03
isotropic_tophat,8,5.5000000000e-01,64,3,1.0000000000e+00,8.1866654803e-04
isotropic_tophat,12,5.5000000000e-01,64,3,1.0000000000e+00,1.2951767785e-04
isotropic_tophat,0,6.0000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,6.0000000000e-01,64,3,1.0000000000e+00,4.1720657718e-02
isotropic_tophat,4,6.0000000000e-01,64,3,1.0000000000e+00,1.0434851830e-02
isotropic_tophat,6,6.0000000000e-01,64,3,1.0000000000e+00,3.5758101410e-03
isotropic_tophat,8,6.0000000000e-01,64,3,1.0000000000e+00,1.4299667513e-03
isotropic_tophat,12,6.0000000000e-01,64,3,1.0000000000e+00,2.9240549523e-04
isotropic_tophat,0,6.5000000000e-01,64,3,1.0000000000e+00,0
isotropic_tophat,2,6.5000000000e-01,64,3,1.0000000000e+00,4.9005049856e-02
isotropic_tophat,4,6.5000000000e-01,64,3,1.0000000000e+00,1.3979183477e-02
isotropic_tophat,6,6.5000000000e-01,64,3,1.0000000000e+00,5.4175430753e-03
