# Equal-accuracy ranking using admitted Heat3D per-step costs (N^3, fixed step count). row_kind=order is one stencil; row_kind=cheapest is the winner (fd_order 0 = spectral).
row_kind,family_id,hardware,target_l2,fd_order,content_fraction,relative_cost,beats_spectral
order,gaussian,lumi-g,1.0000000000e-02,2,8.5222275898e-01,5.0851919976e-02,yes
order,gaussian,lumi-g,1.0000000000e-02,4,1.0000000000e+00,5.3596483023e-02,yes
order,gaussian,lumi-g,1.0000000000e-02,6,1.0000000000e+00,7.0199233000e-02,yes
order,gaussian,lumi-g,1.0000000000e-02,8,1.0000000000e+00,8.7176129455e-02,yes
order,gaussian,lumi-g,1.0000000000e-02,12,1.0000000000e+00,1.1547095688e-01,yes
cheapest,gaussian,lumi-g,1.0000000000e-02,2,8.5222275898e-01,5.0851919976e-02,yes
order,gaussian,lumi-g,1.0000000000e-03,2,2.6517161321e-01,1.6880513238e+00,no
order,gaussian,lumi-g,1.0000000000e-03,4,6.7554051345e-01,1.7385296171e-01,yes
order,gaussian,lumi-g,1.0000000000e-03,6,8.7836551030e-01,1.0358730718e-01,yes
order,gaussian,lumi-g,1.0000000000e-03,8,9.8899873941e-01,9.0117755950e-02,yes
order,gaussian,lumi-g,1.0000000000e-03,12,1.0000000000e+00,1.1547095688e-01,yes
cheapest,gaussian,lumi-g,1.0000000000e-03,8,9.8899873941e-01,9.0117755950e-02,yes
order,gaussian,lumi-g,1.0000000000e-04,2,8.3731039729e-02,5.3617589667e+01,no
order,gaussian,lumi-g,1.0000000000e-04,4,3.7033997981e-01,1.0551993057e+00,no
order,gaussian,lumi-g,1.0000000000e-04,6,5.6785690646e-01,3.8336779812e-01,yes
order,gaussian,lumi-g,1.0000000000e-04,8,6.8823263277e-01,2.6741871638e-01,yes
order,gaussian,lumi-g,1.0000000000e-04,12,8.1889292702e-01,2.1027682197e-01,yes
cheapest,gaussian,lumi-g,1.0000000000e-04,12,8.1889292702e-01,2.1027682197e-01,yes
order,gaussian,lumi-g,1.0000000000e-05,2,2.6474210633e-02,1.6962805387e+03,no
order,gaussian,lumi-g,1.0000000000e-05,4,2.0658163231e-01,6.0794064283e+00,no
order,gaussian,lumi-g,1.0000000000e-05,6,3.7807856387e-01,1.2989313633e+00,no
order,gaussian,lumi-g,1.0000000000e-05,8,4.9718321544e-01,7.0932980165e-01,yes
order,gaussian,lumi-g,1.0000000000e-05,12,6.3723093770e-01,4.4625408692e-01,yes
cheapest,gaussian,lumi-g,1.0000000000e-05,12,6.3723093770e-01,4.4625408692e-01,yes
